time,heightAboveGround,valid_time,u10,v10
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,3.2595484,1.6549292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.0204517,-0.1950708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,0.09954834,2.8449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.4904517,1.5049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.1404517,0.6649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.4604516,0.5749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.5704517,0.8249292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.2704515,-0.1550708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.950452,-1.0150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.8804517,-1.3250709
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.280452,-0.2150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.3004518,0.2049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.7304516,-0.3150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.9804516,-0.6050708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.5504518,-0.8350708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-8.220451,-0.1150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-8.300451,0.8849292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.6104517,1.7449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.720452,1.5249292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.720452,2.2549293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.220452,2.2749293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.700452,1.8449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.0804515,2.234929
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.7404516,2.0049293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.3804517,0.8349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.3504517,2.2549293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.2704515,2.9449291
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.8704517,2.5449293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,5.219548,0.5249292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,4.9495482,1.5649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.9895484,1.1449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.3495483,-0.8750708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.0595484,2.4149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.2104516,0.1949292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-0.91045165,0.1749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-0.28045166,-2.2550707
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.4004517,0.0349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.8604517,0.9949292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.3304516,0.8649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.2804518,1.0849292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.8204517,-0.4750708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.680452,-1.0950708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.530452,-1.1650708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.1704516,0.4849292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.700452,0.9249292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.8504515,0.6049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.8704515,0.1049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.5604515,-0.2350708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-8.3104515,-0.1350708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.660452,0.9149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.2904515,1.3349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.5404515,0.9949292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.6904516,1.4349293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.6704516,1.1449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.780452,1.3349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.1904516,2.3549292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.0404518,1.3949292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.7204516,1.6149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.7804518,2.2649293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.8704517,2.8249292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.1704516,3.6449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.5195483,3.1749291
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,0.91954833,4.084929
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.6095483,3.454929
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.5395484,1.1549292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.5295484,2.3449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.5404516,-0.6850708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.3504517,0.3249292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.5504518,-2.9250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,0.40954834,-1.5950708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.5604515,-5.035071
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-8.140451,-0.8250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.5604517,1.1849293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.3504515,0.8049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.8004518,0.5449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.1904516,-0.025070801
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.950452,0.4049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.6204515,1.0049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.3304515,0.0349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.8804517,0.1149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.990452,-0.2050708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.470452,-0.4650708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.1004515,0.6649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.0404515,1.2649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.5804515,1.5449291
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.220452,0.6449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.430452,0.2349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.7304516,1.1849293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.5104516,1.6149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.3604517,1.7449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.4604516,1.6949292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.6804516,1.4049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.4704517,2.6249292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.3504517,2.6149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,0.63954836,-0.1150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-0.93045163,2.0449293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.6695484,1.2149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.4195484,1.4549292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.8004516,0.4149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.2304516,1.5349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.3304517,-0.7050708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.200452,-0.6850708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.2904515,0.4049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.3804517,1.8349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.4404516,2.8549292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.7304516,2.0649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.1704516,1.8649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.9804516,0.9049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.3104515,1.7449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.3304515,1.4549292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.9404516,1.1149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.180452,0.8749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.5604515,0.9049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.9404516,0.8049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.2904515,-0.3350708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.240452,-0.7850708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.0604515,0.3449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.5704517,0.6349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.470452,1.0149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.1504517,-0.1150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.3304515,-0.1250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.0604515,0.3549292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.470452,0.8049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.6904516,0.7749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.1604517,1.1349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.8104516,1.8149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.0204515,2.5649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,0.70954835,0.0749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-0.28045166,0.9249292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,0.52954835,1.0749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.1504517,1.7149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.0004516,1.7449292
